"cdscode","schedule","district.x","school.x","days1","days2","days3","days4","days5","sum","tkd","kd","first","second","third","fourth","fifth","sixth","tkrec1","krec1","onerec1","tworec1","threerec1","fourrec1","fiverec1","sixrec1","tklunch","klunch","onelunch","twolunch","threelunch","fourlunch","fivelunch","sixlunch","tkrec2","krec2","onerec2","tworec2","threerec2","fourre2","fiverec2","sixrec2","Low Grade","High Grade","Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","afriameri","native","asian","filipino","hispanic","notreport","pacisland","multiracial","white","male","female","nonbinary","ell","disability","socioeco","migrant","foster","homeless"
19642126010862,"regular","abcunified","alohaelementary","mon"," tues"," thurs"," fri",NA,4,"7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","10:00-10:15","10:00-10:15","10:00-10:15","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:45-12:30","11:45-12:30","12:15-13:00","12:15-13:00","12:50-13:00","12:50-13:00",NA,NA,NA,NA,NA,NA,"K","6",302,235,"77.8%",266,"88.1%",285,222,"77.9%",251,"88.1%",62,NA,12,21,191,NA,NA,21,NA,175,150,NA,43,63,291,49,NA,15
19642126010862,"early release","abcunified","alohaelementary","weds",NA,NA,NA,NA,1,"7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","7:45-13:02","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","9:40-9:55","10:00-10:15","10:00-10:15","10:00-10:15","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:45-12:30","11:45-12:30","12:15-13:00","12:15-13:00",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",302,235,"77.8%",266,"88.1%",285,222,"77.9%",251,"88.1%",62,NA,12,21,191,NA,NA,21,NA,175,150,NA,43,63,291,49,NA,15
19642126010904,"regular","abcunified","carver(charlesj.)elementary","mon"," tues"," weds"," thurs"," fri",5,"9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","9:15-15:02","10:15-10:30","10:35-10:50","10:35-10:50","10:35-10:50","10:55-11:10","10:55-11:10","11:15-11:30","11:15-11:30","11:45-12:15","12:00-12:30","12:00-12:30","12:35-13:05","12:35-13:05","12:35-13:05","13:10-13:40","13:10-13:40","13:45-14:00","14:05-14:20",NA,NA,NA,NA,NA,NA,"K","6",444,186,"41.9%",246,"55.4%",414,176,"42.5%",234,"56.5%",37,NA,93,69,201,15,NA,26,22,232,234,NA,35,75,277,22,NA,NA
19642126010904,"early release","abcunified","carver(charlesj.)elementary",NA,NA,NA,NA,NA,0,"9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","9:15-14:02","10:15-10:30","10:35-10:50","10:35-10:50","10:35-10:50","10:55-11:10","10:55-11:10","11:15-11:30","11:15-11:30","11:45-12:15","12:00-12:30","12:00-12:30","12:35-13:05","12:35-13:05","12:35-13:05","13:10-13:40","13:10-13:40",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",444,186,"41.9%",246,"55.4%",414,176,"42.5%",234,"56.5%",37,NA,93,69,201,15,NA,26,22,232,234,NA,35,75,277,22,NA,NA
19642126010912,"regular","abcunified","melbourne(ellap.)elementary","mon"," tues"," weds"," thurs"," fri",5,"9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","9:15-15:25","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","11:05-11:25","11:05-11:25","11:05-11:25","12:30-13:15","12:30-13:15","12:30-13:15","13:00-13:45","13:00-13:45","13:00-13:45","13:30-14:15","13:30-14:15",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",338,283,"83.7%",312,"92.3%",317,266,"83.9%",294,"92.7%",NA,NA,NA,NA,311,16,NA,NA,NA,191,171,NA,90,80,335,147,NA,11
19642126010912,"early release","abcunified","melbourne(ellap.)elementary",NA,NA,NA,NA,NA,0,"9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","9:15-14:25","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","10:40-11:00","11:05-11:25","11:05-11:25","11:05-11:25","12:30-13:15","12:30-13:15","12:30-13:15","13:00-13:45","13:00-13:45","13:00-13:45","13:30-14:15","13:30-14:15",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",338,283,"83.7%",312,"92.3%",317,266,"83.9%",294,"92.7%",NA,NA,NA,NA,311,16,NA,NA,NA,191,171,NA,90,80,335,147,NA,11
19642126010920,"regular","abcunified","hawaiianelementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:42","7:45-13:42","7:45-13:52","7:45-13:52","7:45-13:52","7:45-13:52","7:45-13:52","7:45-13:52","9:20-9:40","9:40-10:00","10:00-10:20","10:00-10:20","10:20-10:40","10:20-10:40","10:40-11:00","10:40-11:00","10:50-11:35","11:10-11:55","11:10-11:55","11:10-11:55","12:05-12:50","12:05-12:50","12:05-12:50","12:05-12:50",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",298,262,"87.9%",279,"93.6%",280,249,"88.9%",264,"94.3%",NA,NA,NA,NA,219,87,NA,NA,NA,161,165,NA,117,61,306,190,NA,48
19642126010920,"early release","abcunified","hawaiianelementary",NA,NA,NA,NA,NA,0,"7:45-12:30","7:45-12:30","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","9:20-9:40","9:40-10:00","10:00-10:20","10:00-10:20","10:20-10:40","10:20-10:40","10:40-11:00","10:40-11:00","10:50-11:35","11:10-11:55","11:10-11:55","11:10-11:55","12:05-12:50","12:05-12:50","12:05-12:50","12:05-12:50",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",298,262,"87.9%",279,"93.6%",280,249,"88.9%",264,"94.3%",NA,NA,NA,NA,219,87,NA,NA,NA,161,165,NA,117,61,306,190,NA,48
19642126010938,"regular","abcunified","kennedy(johnf.)elementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","7:45-13:45","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:30-9:45","9:30-9:45","9:30-9:45","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:30-12:10","11:30-12:10","11:30-12:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",398,208,"52.3%",267,"67.1%",365,191,"52.3%",246,"67.4%",29,NA,66,44,229,11,NA,26,22,220,208,NA,40,94,297,20,NA,NA
19642126010938,"early release","abcunified","kennedy(johnf.)elementary",NA,NA,NA,NA,NA,0,"7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","7:45-12:50","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:45-10:00","9:30-9:45","9:30-9:45","9:30-9:45","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:50-12:30","11:30-12:10","11:30-12:10","11:30-12:10",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",398,208,"52.3%",267,"67.1%",365,191,"52.3%",246,"67.4%",29,NA,66,44,229,11,NA,26,22,220,208,NA,40,94,297,20,NA,NA
19642126010953,"regular","abcunified","burbank(luther)elementary","mon"," tues"," thurs"," fri",NA,4,"7:45-14:04","7:45-14:04","7:45-14:04","7:45-14:04","7:45-14:04","7:45-14:04","7:45-14:04","7:45-14:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","6",421,227,"53.9%",281,"66.7%",401,216,"53.9%",268,"66.8%",33,NA,87,48,221,17,NA,17,18,235,207,NA,89,85,324,26,NA,NA
19642126010953,"early release","abcunified","burbank(luther)elementary","weds",NA,NA,NA,NA,1,"7:45-13:04","7:45-13:04","7:45-13:04","7:45-13:04","7:45-13:04","7:45-13:04","7:45-13:04","7:45-13:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","6",421,227,"53.9%",281,"66.7%",401,216,"53.9%",268,"66.8%",33,NA,87,48,221,17,NA,17,18,235,207,NA,89,85,324,26,NA,NA
19642126010979,"regular","abcunified","furgeson(vennw.)elementary","mon"," tues"," weds"," thurs"," fri",5,"8:30-14:25","8:30-14:25","8:30-14:30","8:30-14:30","8:30-14:30","8:30-14:30","8:30-14:30","8:30-14:30","10:00-10:20","10:00-10:20","10:25-10:40","10:25-10:40","10:25-10:40","10:45-11:00","10:45-11:00","10:45-11:00","11:10-11:50","11:10-11:50","11:55-12:35","11:55-12:35","11:55-12:35","12:35-13:15","12:35-13:15","12:35-13:15",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",297,250,"84.2%",275,"92.6%",270,227,"84.1%",250,"92.6%",NA,NA,NA,NA,303,NA,NA,NA,NA,164,152,NA,109,69,290,100,NA,NA
19642126010979,"early release","abcunified","furgeson(vennw.)elementary",NA,NA,NA,NA,NA,0,"8:30-13:15","8:30-13:15","8:30-13:30","8:30-13:30","8:30-13:30","8:30-13:30","8:30-13:30","8:30-13:30","9:45-10:05","9:45-10:05","10:10-10:25","10:10-10:25","10:10-10:25","10:30-10:45","10:30-10:45","10:30-10:45","11:10-11:50","11:10-11:50","11:55-12:35","11:55-12:35","11:55-12:35","12:35-13:15","12:35-13:15","12:35-13:15",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",297,250,"84.2%",275,"92.6%",270,227,"84.1%",250,"92.6%",NA,NA,NA,NA,303,NA,NA,NA,NA,164,152,NA,109,69,290,100,NA,NA
19642126010987,"regular","abcunified","elliott(williamf)elementary","mon"," tues"," weds"," thurs"," fri",5,"8:45-14:52","8:45-14:52","8:45-14:52","8:45-14:52","8:45-14:52","8:45-14:52","8:45-14:52","8:45-14:52","10:20-10:35","10:20-10:35","10:20-10:35","10:20-10:35","10:40-10:55","10:40-10:55","11:00-11:15","11:00-11:15","11:40-12:25","11:40-12:25","11:40-12:25","11:40-12:25","12:20-13:05","12:20-13:05","13:00-13:45","13:00-13:45",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",425,183,"43.1%",232,"54.6%",403,173,"42.9%",222,"55.1%",13,NA,129,56,171,13,NA,20,36,246,200,NA,90,64,274,34,NA,14
19642126010987,"early release","abcunified","elliott(williamf)elementary",NA,NA,NA,NA,NA,0,"8:45-13:45","8:45-13:45","8:45-13:45","8:45-13:45","8:45-13:45","8:45-13:45","8:45-13:45","8:45-13:45","10:20-10:35","10:20-10:35","10:20-10:35","10:20-10:35","10:40-10:55","10:40-10:55","11:00-11:15","11:00-11:15","11:40-12:25","11:40-12:25","11:40-12:25","11:40-12:25","12:20-13:05","12:20-13:05","13:00-13:45","13:00-13:45",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",425,183,"43.1%",232,"54.6%",403,173,"42.9%",222,"55.1%",13,NA,129,56,171,13,NA,20,36,246,200,NA,90,64,274,34,NA,14
19642126010995,"regular","abcunified","willowelementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","7:45-14:02","9:55-10:10","9:55-10:10","9:55-10:10","9:55-10:10","9:55-10:10","10:15-10:30","10:15-10:30","10:15-10:30","11:00-11:45","11:00-11:45","11:00-11:45","11:30-12:15","11:30-12:15","12:15-13:00","12:15-13:00","12:15-13:00","12:50-13:00","12:50-13:00",NA,NA,NA,NA,NA,NA,"K","6",346,250,"72.3%",278,"80.3%",331,244,"73.7%",271,"81.9%",26,NA,23,14,265,16,NA,13,11,189,181,NA,60,96,319,33,NA,12
19642126010995,"early release","abcunified","willowelementary","weds",NA,NA,NA,NA,1,"7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","7:45-13:00","9:55-10:10","9:55-10:10","9:55-10:10","9:55-10:10","9:55-10:10","10:15-10:30","10:15-10:30","10:15-10:30","11:00-11:45","11:00-11:45","11:00-11:45","11:30-12:15","11:30-12:15","12:15-13:00","12:15-13:00","12:15-13:00","12:50-13:00","12:50-13:00",NA,NA,NA,NA,NA,NA,"K","6",346,250,"72.3%",278,"80.3%",331,244,"73.7%",271,"81.9%",26,NA,23,14,265,16,NA,13,11,189,181,NA,60,96,319,33,NA,12
19642126066716,"regular","abcunified","stowers(cecilb.)elementary",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"9:10-9:40","9:25-9:55","9:35-9:50","9:35-9:50","9:35-9:50","10:00-10:15","10:00-10:15","10:00-10:15","11:20-11:50","11:45-12:15","11:05-11:35","11:05-11:35","11:05-11:35","11:55-12:25","11:55-12:25","11:55-12:25",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",547,152,"27.8%",222,"40.6%",505,141,"27.9%",208,"41.2%",26,NA,225,71,153,17,NA,40,29,292,273,NA,45,65,241,NA,NA,NA
19642126066716,"early release","abcunified","stowers(cecilb.)elementary",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"9:10-9:40","9:25-9:55","9:35-9:50","9:35-9:50","9:35-9:50","10:00-10:15","10:00-10:15","10:00-10:15","11:20-11:40","10:50-11:10","11:05-11:35","11:05-11:35","11:05-11:35","11:55-12:25","11:55-12:25","11:55-12:25",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",547,152,"27.8%",222,"40.6%",505,141,"27.9%",208,"41.2%",26,NA,225,71,153,17,NA,40,29,292,273,NA,45,65,241,NA,NA,NA
19642126068274,"regular","abcunified","cerritoselementary","mon"," tues"," weds"," thurs"," fri",5,"9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","9:00-15:05","10:40-11:10","10:40-11:10","10:40-11:00","10:40-11:00","10:20-10:40","10:20-10:40","10:50-11:10","10:50-11:10","12:40-13:20","12:40-13:20","12:10-12:50","12:10-12:50","11:40-12:20","11:40-12:20","12:45-13:25","12:45-13:25",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",612,130,"21.2%",218,"35.6%",583,121,"20.8%",204,"35.0%",42,NA,328,85,99,15,NA,30,19,302,320,NA,52,55,238,NA,NA,NA
19642126068274,"early release","abcunified","cerritoselementary",NA,NA,NA,NA,NA,0,"9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","9:00-14:00","10:40-11:10","10:40-11:10","10:40-11:00","10:40-11:00","10:20-10:40","10:20-10:40","10:50-11:10","10:50-11:10","12:40-13:20","12:40-13:20","12:10-12:50","12:10-12:50","11:40-12:20","11:40-12:20","12:45-13:25","12:45-13:25",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",612,130,"21.2%",218,"35.6%",583,121,"20.8%",204,"35.0%",42,NA,328,85,99,15,NA,30,19,302,320,NA,52,55,238,NA,NA,NA
19642126071351,"regular","abcunified","juarez(benito)elementary","mon"," tues"," weds"," thurs"," fri",5,"8:30-14:35","8:30-14:35","8:30-14:35","8:30-14:35","8:30-14:35","8:30-14:35","8:30-14:35","8:30-14:35","10:00-10:15","10:00-10:15","10:20-10:35","10:20-10:35","10:20-10:35","10:40-10:55","10:40-10:55","10:40-10:55","11:45-12:20","11:45-12:20","12:05-12:40","12:05-12:40","12:05-12:40","12:45-13:20","12:45-13:20","12:45-13:20",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",295,167,"56.6%",214,"72.5%",274,158,"57.7%",204,"74.5%",26,NA,26,32,201,NA,NA,NA,20,185,136,NA,55,98,244,33,NA,13
19642126071351,"early release","abcunified","juarez(benito)elementary",NA,NA,NA,NA,NA,0,"8:30-13:05","8:30-13:05","8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","10:00-10:15","10:00-10:15","10:20-10:35","10:20-10:35","10:20-10:35","10:40-10:55","10:40-10:55","10:40-10:55","11:45-12:20","11:45-12:20","12:05-12:40","12:05-12:40","12:05-12:40","12:45-13:20","12:45-13:20","12:45-13:20",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",295,167,"56.6%",214,"72.5%",274,158,"57.7%",204,"74.5%",26,NA,26,32,201,NA,NA,NA,20,185,136,NA,55,98,244,33,NA,13
19642126071351,"early release","abcunified","juarez(benito)elementary",NA,NA,NA,NA,NA,0,"8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","8:30-13:35","10:00-10:15","10:00-10:15","10:20-10:35","10:20-10:35","10:20-10:35","10:40-10:55","10:40-10:55","10:40-10:55","11:45-12:20","11:45-12:20","12:05-12:40","12:05-12:40","12:05-12:40","12:45-13:20","12:45-13:20","12:45-13:20",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",295,167,"56.6%",214,"72.5%",274,158,"57.7%",204,"74.5%",26,NA,26,32,201,NA,NA,NA,20,185,136,NA,55,98,244,33,NA,13
19642126071369,"regular","abcunified","braggelementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:37","7:45-13:37","7:45-13:50","7:45-13:50","7:45-13:50","7:45-13:50","7:45-13:50","7:45-13:50","9:00-9:20","9:00-9:20","9:15-9:35","9:15-9:35","9:40-10:00","9:40-10:00","10:05-10:25","10:05-10:25","11:00-11:40","11:00-11:40","11:00-11:40","11:00-11:40","11:45-12:25","11:45-12:25","11:45-12:25","11:45-12:25","13:00-13:20","13:00-13:20",NA,NA,NA,NA,NA,NA,"K","6",602,241,"40.0%",349,"58.0%",581,237,"40.8%",340,"58.5%",53,NA,93,139,205,27,NA,59,34,319,297,NA,46,104,364,20,NA,NA
19642126071369,"early release","abcunified","braggelementary",NA,NA,NA,NA,NA,0,"7:45-12:35","7:45-12:35","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","9:00-9:20","9:00-9:20","9:15-9:35","9:15-9:35","9:40-10:00","9:40-10:00","10:05-10:25","10:05-10:25","11:00-11:40","11:00-11:40","11:00-11:40","11:00-11:40","11:45-12:25","11:45-12:25","11:45-12:25","11:45-12:25","12:00-12:20","12:00-12:20",NA,NA,NA,NA,NA,NA,"K","6",602,241,"40.0%",349,"58.0%",581,237,"40.8%",340,"58.5%",53,NA,93,139,205,27,NA,59,34,319,297,NA,46,104,364,20,NA,NA
19642126071369,"early release","abcunified","braggelementary",NA,NA,NA,NA,NA,0,"7:45-12:35","7:45-12:35",NA,NA,NA,NA,NA,NA,"9:00-9:20","9:00-9:20",NA,NA,NA,NA,NA,NA,"11:00-11:40","11:00-11:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","6",602,241,"40.0%",349,"58.0%",581,237,"40.8%",340,"58.5%",53,NA,93,139,205,27,NA,59,34,319,297,NA,46,104,364,20,NA,NA
19642126085609,"regular","abcunified","leal(frankc.)elementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","10:20-11:00","10:20-11:00","9:25-9:40","9:25-9:40","9:25-9:40","9:25-9:40","9:45-10:00","9:45-10:00","12:10-12:50","12:10-12:50","11:00-11:40","11:00-11:40","11:35-12:15","11:35-12:15","12:45-13:25","12:45-13:25","13:32-13:42","13:32-13:42",NA,NA,NA,NA,NA,NA,"K","6",774,186,"24.0%",272,"35.1%",756,182,"24.1%",267,"35.3%",29,NA,378,123,154,25,NA,59,20,402,398,NA,47,87,303,NA,NA,NA
19642126085609,"early release","abcunified","leal(frankc.)elementary",NA,NA,NA,NA,NA,0,"7:45-12:00","7:45-12:00","7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","7:45-13:42","10:20-10:40","10:20-10:40","9:25-9:40","9:25-9:40","9:25-9:40","9:25-9:40","9:45-10:00","9:45-10:00","11:30-11:50","11:30-11:50","11:00-11:40","11:00-11:40","11:35-12:15","11:35-12:15","12:45-13:25","12:45-13:25",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",774,186,"24.0%",272,"35.1%",756,182,"24.1%",267,"35.3%",29,NA,378,123,154,25,NA,59,20,402,398,NA,47,87,303,NA,NA,NA
19642126085617,"regular","abcunified","abcunified","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:55","7:45-13:55","7:45-13:55","7:45-13:55","7:45-13:55","7:45-13:55","7:45-13:55","7:45-13:55","9:15-9:30","9:15-9:30","9:15-9:30","9:15-9:30","9:15-9:30","9:50-10:05","9:50-10:05","9:50-10:05","11:10-11:55","11:10-11:55","11:10-11:55","11:10-11:55","11:10-11:55","12:00-12:45","12:00-12:45","12:00-12:45",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",516,122,"23.6%",183,"35.5%",495,117,"23.6%",175,"35.4%",22,NA,276,57,99,16,NA,31,22,281,247,NA,41,92,192,NA,NA,NA
19642126085617,"early release","abcunified","abcunified",NA,NA,NA,NA,NA,0,"7:45-12:55","7:45-12:55","7:45-12:55","7:45-12:55","7:45-12:55","7:45-12:55","7:45-12:55","7:45-12:55","9:15-9:30","9:15-9:30","9:15-9:30","9:15-9:30","9:15-9:30","9:50-10:05","9:50-10:05","9:50-10:05","11:10-11:55","11:10-11:55","11:10-11:55","11:10-11:55","11:10-11:55","12:00-12:45","12:00-12:45","12:00-12:45",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",516,122,"23.6%",183,"35.5%",495,117,"23.6%",175,"35.4%",22,NA,276,57,99,16,NA,31,22,281,247,NA,41,92,192,NA,NA,NA
19642126093447,"regular","abcunified","wittmann(helen)elementary","mon"," tues"," weds"," thurs"," fri",5,"7:45-13:47","7:45-13:47","7:45-13:47","7:45-13:47","7:45-13:47","7:45-13:47","7:45-13:47","7:45-13:47","9:00-9:15","9:00-9:15","9:00-9:15","9:00-9:15","9:00-9:15","9:15-9:30","9:15-9:30","9:15-9:30","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:45-12:30","11:45-12:30","11:45-12:30",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",561,153,"27.3%",209,"37.3%",540,147,"27.2%",201,"37.2%",24,NA,280,62,133,19,NA,29,31,281,299,NA,60,67,228,NA,NA,NA
19642126093447,"early release","abcunified","wittmann(helen)elementary",NA,NA,NA,NA,NA,0,"7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","7:45-12:45","9:00-9:15","9:00-9:15","9:00-9:15","9:00-9:15","9:00-9:15","9:15-9:30","9:15-9:30","9:15-9:30","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:00-11:45","11:45-12:30","11:45-12:30","11:45-12:30",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",561,153,"27.3%",209,"37.3%",540,147,"27.2%",201,"37.2%",24,NA,280,62,133,19,NA,29,31,281,299,NA,60,67,228,NA,NA,NA
19642126093454,"regular","abcunified","nixon(patricia)elementary","mon"," tues"," weds"," thurs"," fri",5,"9:10-15:15","9:10-15:15","9:10-15:15","9:10-15:15","9:10-15:15","9:10-15:15","9:10-15:15","9:10-15:15","10:00-10:30","10:30-11:00","11:00-11:15","11:00-11:15","11:00-11:15","11:30-11:45","11:30-11:45","11:30-11:45","12:00-12:45","12:00-12:45","12:00-12:45","12:00-12:45","12:35-13:20","12:35-13:20","13:10-13:55","13:10-13:55","14:30-15:00","14:30-15:00",NA,NA,NA,NA,NA,NA,"K","6",681,251,"36.9%",358,"52.6%",661,245,"37.1%",348,"52.6%",55,NA,106,115,264,20,12,61,58,356,335,NA,52,115,372,29,NA,NA
19642126093454,"early release","abcunified","nixon(patricia)elementary",NA,NA,NA,NA,NA,0,"9:10-14:25","9:10-14:25","9:10-14:25","9:10-14:25","9:10-14:25","9:10-14:25","9:10-14:25","9:10-14:25","10:00-10:30","10:30-11:00","11:00-11:15","11:00-11:15","11:00-11:15","11:30-11:45","11:30-11:45","11:30-11:45","12:00-12:45","12:00-12:45","12:00-12:45","12:00-12:45","12:35-13:20","12:35-13:20","13:10-13:55","13:10-13:55",NA,NA,NA,NA,NA,NA,NA,NA,"K","6",681,251,"36.9%",358,"52.6%",661,245,"37.1%",348,"52.6%",55,NA,106,115,264,20,12,61,58,356,335,NA,52,115,372,29,NA,NA
19642126093454,"early release","abcunified","nixon(patricia)elementary",NA,NA,NA,NA,NA,0,"9:10-13:40","9:10-13:40",NA,NA,NA,NA,NA,NA,"10:00-10:30","10:30-11:00",NA,NA,NA,NA,NA,NA,"12:00-12:45","12:00-12:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","6",681,251,"36.9%",358,"52.6%",661,245,"37.1%",348,"52.6%",55,NA,106,115,264,20,12,61,58,356,335,NA,52,115,372,29,NA,NA
31667616031009,"regular","ackermancharter","bowmancharter","tues"," weds"," thurs"," fri",NA,4,"8:05-12:50","8:05-13:30","8:05-14:05","8:05-14:05","8:05-14:40","8:05-14:40","8:05-14:40","8:05-14:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","8",606,145,"23.9%",152,"25.1%",589,143,"24.3%",150,"25.5%",NA,NA,NA,NA,111,NA,NA,62,431,321,297,NA,25,82,241,NA,NA,18
31667616031009,"early release","ackermancharter","bowmancharter","mon",NA,NA,NA,NA,1,"8:05-12:30","8:05-13:00","8:05-13:30","8:05-13:30","8:05-13:30","8:05-13:30","8:05-13:30","8:05-13:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","8",606,145,"23.9%",152,"25.1%",589,143,"24.3%",150,"25.5%",NA,NA,NA,NA,111,NA,NA,62,431,321,297,NA,25,82,241,NA,NA,18
31667616031009,"early release","ackermancharter","bowmancharter",NA,NA,NA,NA,NA,0,"8:05-11:45","8:05-11:45","8:05-12:15","8:05-12:15","8:05-12:15","8:05-12:15","8:05-12:15","8:05-12:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K","8",606,145,"23.9%",152,"25.1%",589,143,"24.3%",150,"25.5%",NA,NA,NA,NA,111,NA,NA,62,431,321,297,NA,25,82,241,NA,NA,18
